data,english,spanish
,"In the current master version I regularly encounter this exception, when calling unhook_all()

","En la versión maestra actual me encuentro regularmente con esta excepción, al llamar a unhook_all()

"
,"In the current master version I regularly encounter this exception, when calling unhook_all()

","En la versión maestra actual me encuentro regularmente con esta excepción, al llamar a unhook_all()

"
,"Do you mean you simply want to loop the program, or reload it, or... what? What's the actual problem you're trying to solve. – 
","¿Quieres decir que simplemente quieres hacer un bucle con el programa, o recargarlo, o... qué? ¿Cuál es el problema real que está tratando de resolver. -
"
,"It'll be helpful if you changed your title to something like ""How do I clear all variables in the middle of a Python script?"" for future searches on the topic, because ""How to restart the command window in Python?"" has nothing to do with what you're actually asking. – 
","Sería útil que cambiaras tu título por algo así como ""¿Cómo borro todas las variables en medio de un script de Python?"" para futuras búsquedas sobre el tema, porque ""¿Cómo reiniciar la ventana de comandos en Python?"" no tiene nada que ver con lo que realmente estás preguntando. -
"
,"It'll be helpful if you changed your title to something like ""How do I clear all variables in the middle of a Python script?"" for future searches on the topic, because ""How to restart the command window in Python?"" has nothing to do with what you're actually asking. – 
","Sería útil que cambiaras tu título por algo así como ""¿Cómo borro todas las variables en medio de un script de Python?"" para futuras búsquedas sobre el tema, porque ""¿Cómo reiniciar la ventana de comandos en Python?"" no tiene nada que ver con lo que realmente estás preguntando. -
"
,"Can you provide any possible context in which this makes sense? – 
","¿Puede aportar algún contexto posible en el que esto tenga sentido? -
"
,"Thanks that's way cleaner than what I was doing and exactly what I needed. Unfortunately though doing window/root.quit is giving me an error ""quit() takes 1 positional argument but 4 were given""

","Gracias eso es mucho más limpio que lo que estaba haciendo y exactamente lo que necesitaba. Por desgracia, aunque haciendo window/root.quit me está dando un error ""quit() toma 1 argumento posicional pero se dieron 4""

"
,"The docs mention offhandedly in a few places that Tkinter is not quite thread safe, but as far as I know, never quite come out and say that you can only talk to Tk from the main thread. The reason is that the truth is somewhat complicated. Tkinter itself is thread-safe, but it's hard to use in a multithreaded way. The closest to official documentation on this seems to be this page:

","Los documentos mencionan a la ligera en algunos lugares que Tkinter no es seguro para hilos, pero hasta donde yo sé, nunca dicen que sólo se puede hablar con Tk desde el hilo principal. La razón es que la verdad es algo complicada. Tkinter en sí es thread-safe, pero es difícil de usar de forma multihilo. Lo más cercano a documentación oficial sobre esto parece ser esta página:

"
,"The docs mention offhandedly in a few places that Tkinter is not quite thread safe, but as far as I know, never quite come out and say that you can only talk to Tk from the main thread. The reason is that the truth is somewhat complicated. Tkinter itself is thread-safe, but it's hard to use in a multithreaded way. The closest to official documentation on this seems to be this page:

","Los documentos mencionan a la ligera en algunos lugares que Tkinter no es seguro para hilos, pero hasta donde yo sé, nunca dicen que sólo se puede hablar con Tk desde el hilo principal. La razón es que la verdad es algo complicada. Tkinter en sí es thread-safe, pero es difícil de usar de forma multihilo. Lo más cercano a documentación oficial sobre esto parece ser esta página:

"
,"The docs mention offhandedly in a few places that Tkinter is not quite thread safe, but as far as I know, never quite come out and say that you can only talk to Tk from the main thread. The reason is that the truth is somewhat complicated. Tkinter itself is thread-safe, but it's hard to use in a multithreaded way. The closest to official documentation on this seems to be this page:

","Los documentos mencionan a la ligera en algunos lugares que Tkinter no es seguro para hilos, pero hasta donde yo sé, nunca dicen que sólo se puede hablar con Tk desde el hilo principal. La razón es que la verdad es algo complicada. Tkinter en sí es thread-safe, pero es difícil de usar de forma multihilo. Lo más cercano a documentación oficial sobre esto parece ser esta página:

"
